brand_name,brand_slug,era,search_query,ebay_url,amazon_url
"Gant","gant","1960s","vintage 1960s Gant clothing","https://www.ebay.com/sch/i.html?_nkw=vintage%201960s%20Gant%20clothing&_sacat=11450","https://www.amazon.com/s?k=vintage%201960s%20Gant%20clothing&i=fashion"
"Gant","gant","1970s","vintage 1970s Gant clothing","https://www.ebay.com/sch/i.html?_nkw=vintage%201970s%20Gant%20clothing&_sacat=11450","https://www.amazon.com/s?k=vintage%201970s%20Gant%20clothing&i=fashion"
"Gant","gant","1980s","vintage 1980s Gant clothing","https://www.ebay.com/sch/i.html?_nkw=vintage%201980s%20Gant%20clothing&_sacat=11450","https://www.amazon.com/s?k=vintage%201980s%20Gant%20clothing&i=fashion"
"Gant","gant","1990s","vintage 1990s Gant clothing","https://www.ebay.com/sch/i.html?_nkw=vintage%201990s%20Gant%20clothing&_sacat=11450","https://www.amazon.com/s?k=vintage%201990s%20Gant%20clothing&i=fashion"
"Gant","gant","2000s","vintage 2000s Gant clothing","https://www.ebay.com/sch/i.html?_nkw=vintage%202000s%20Gant%20clothing&_sacat=11450","https://www.amazon.com/s?k=vintage%202000s%20Gant%20clothing&i=fashion"
"Gant","gant","2010s","vintage 2010s Gant clothing","https://www.ebay.com/sch/i.html?_nkw=vintage%202010s%20Gant%20clothing&_sacat=11450","https://www.amazon.com/s?k=vintage%202010s%20Gant%20clothing&i=fashion"
"Gant","gant","Modern (2020s)","Gant clothing","https://www.ebay.com/sch/i.html?_nkw=Gant%20clothing&_sacat=11450","https://www.amazon.com/s?k=Gant%20clothing&i=fashion"
"Gant","gant","Pre-1920s","vintage Pre-1920s Gant clothing","https://www.ebay.com/sch/i.html?_nkw=vintage%20Pre-1920s%20Gant%20clothing&_sacat=11450","https://www.amazon.com/s?k=vintage%20Pre-1920s%20Gant%20clothing&i=fashion"
"Gap","gap","1920s","vintage 1920s Gap clothing","https://www.ebay.com/sch/i.html?_nkw=vintage%201920s%20Gap%20clothing&_sacat=11450","https://www.amazon.com/s?k=vintage%201920s%20Gap%20clothing&i=fashion"
"Gap","gap","1930s","vintage 1930s Gap clothing","https://www.ebay.com/sch/i.html?_nkw=vintage%201930s%20Gap%20clothing&_sacat=11450","https://www.amazon.com/s?k=vintage%201930s%20Gap%20clothing&i=fashion"
"Gap","gap","1940s","vintage 1940s Gap clothing","https://www.ebay.com/sch/i.html?_nkw=vintage%201940s%20Gap%20clothing&_sacat=11450","https://www.amazon.com/s?k=vintage%201940s%20Gap%20clothing&i=fashion"
"Gap","gap","1950s","vintage 1950s Gap clothing","https://www.ebay.com/sch/i.html?_nkw=vintage%201950s%20Gap%20clothing&_sacat=11450","https://www.amazon.com/s?k=vintage%201950s%20Gap%20clothing&i=fashion"
"Gap","gap","1960s","vintage 1960s Gap clothing","https://www.ebay.com/sch/i.html?_nkw=vintage%201960s%20Gap%20clothing&_sacat=11450","https://www.amazon.com/s?k=vintage%201960s%20Gap%20clothing&i=fashion"
"Gap","gap","1970s","vintage 1970s Gap clothing","https://www.ebay.com/sch/i.html?_nkw=vintage%201970s%20Gap%20clothing&_sacat=11450","https://www.amazon.com/s?k=vintage%201970s%20Gap%20clothing&i=fashion"
"Gap","gap","1980s","vintage 1980s Gap clothing","https://www.ebay.com/sch/i.html?_nkw=vintage%201980s%20Gap%20clothing&_sacat=11450","https://www.amazon.com/s?k=vintage%201980s%20Gap%20clothing&i=fashion"
"Gap","gap","1990s","vintage 1990s Gap clothing","https://www.ebay.com/sch/i.html?_nkw=vintage%201990s%20Gap%20clothing&_sacat=11450","https://www.amazon.com/s?k=vintage%201990s%20Gap%20clothing&i=fashion"
"Gap","gap","2000s","vintage 2000s Gap clothing","https://www.ebay.com/sch/i.html?_nkw=vintage%202000s%20Gap%20clothing&_sacat=11450","https://www.amazon.com/s?k=vintage%202000s%20Gap%20clothing&i=fashion"
"Gap","gap","2010s","vintage 2010s Gap clothing","https://www.ebay.com/sch/i.html?_nkw=vintage%202010s%20Gap%20clothing&_sacat=11450","https://www.amazon.com/s?k=vintage%202010s%20Gap%20clothing&i=fashion"
"Gap","gap","Modern (2020s)","Gap clothing","https://www.ebay.com/sch/i.html?_nkw=Gap%20clothing&_sacat=11450","https://www.amazon.com/s?k=Gap%20clothing&i=fashion"
"Gap","gap","Pre-1920s","vintage Pre-1920s Gap clothing","https://www.ebay.com/sch/i.html?_nkw=vintage%20Pre-1920s%20Gap%20clothing&_sacat=11450","https://www.amazon.com/s?k=vintage%20Pre-1920s%20Gap%20clothing&i=fashion"
"George","george","1920s","vintage 1920s George clothing","https://www.ebay.com/sch/i.html?_nkw=vintage%201920s%20George%20clothing&_sacat=11450","https://www.amazon.com/s?k=vintage%201920s%20George%20clothing&i=fashion"
"George","george","1930s","vintage 1930s George clothing","https://www.ebay.com/sch/i.html?_nkw=vintage%201930s%20George%20clothing&_sacat=11450","https://www.amazon.com/s?k=vintage%201930s%20George%20clothing&i=fashion"
"George","george","1940s","vintage 1940s George clothing","https://www.ebay.com/sch/i.html?_nkw=vintage%201940s%20George%20clothing&_sacat=11450","https://www.amazon.com/s?k=vintage%201940s%20George%20clothing&i=fashion"
"George","george","1950s","vintage 1950s George clothing","https://www.ebay.com/sch/i.html?_nkw=vintage%201950s%20George%20clothing&_sacat=11450","https://www.amazon.com/s?k=vintage%201950s%20George%20clothing&i=fashion"
"George","george","1960s","vintage 1960s George clothing","https://www.ebay.com/sch/i.html?_nkw=vintage%201960s%20George%20clothing&_sacat=11450","https://www.amazon.com/s?k=vintage%201960s%20George%20clothing&i=fashion"
"George","george","1970s","vintage 1970s George clothing","https://www.ebay.com/sch/i.html?_nkw=vintage%201970s%20George%20clothing&_sacat=11450","https://www.amazon.com/s?k=vintage%201970s%20George%20clothing&i=fashion"
"George","george","1980s","vintage 1980s George clothing","https://www.ebay.com/sch/i.html?_nkw=vintage%201980s%20George%20clothing&_sacat=11450","https://www.amazon.com/s?k=vintage%201980s%20George%20clothing&i=fashion"
"George","george","1990s","vintage 1990s George clothing","https://www.ebay.com/sch/i.html?_nkw=vintage%201990s%20George%20clothing&_sacat=11450","https://www.amazon.com/s?k=vintage%201990s%20George%20clothing&i=fashion"
"George","george","2000s","vintage 2000s George clothing","https://www.ebay.com/sch/i.html?_nkw=vintage%202000s%20George%20clothing&_sacat=11450","https://www.amazon.com/s?k=vintage%202000s%20George%20clothing&i=fashion"
"George","george","2010s","vintage 2010s George clothing","https://www.ebay.com/sch/i.html?_nkw=vintage%202010s%20George%20clothing&_sacat=11450","https://www.amazon.com/s?k=vintage%202010s%20George%20clothing&i=fashion"
"George","george","Modern (2020s)","George clothing","https://www.ebay.com/sch/i.html?_nkw=George%20clothing&_sacat=11450","https://www.amazon.com/s?k=George%20clothing&i=fashion"
"George","george","Pre-1920s","vintage Pre-1920s George clothing","https://www.ebay.com/sch/i.html?_nkw=vintage%20Pre-1920s%20George%20clothing&_sacat=11450","https://www.amazon.com/s?k=vintage%20Pre-1920s%20George%20clothing&i=fashion"
"Giant","giant","1920s","vintage 1920s Giant clothing","https://www.ebay.com/sch/i.html?_nkw=vintage%201920s%20Giant%20clothing&_sacat=11450","https://www.amazon.com/s?k=vintage%201920s%20Giant%20clothing&i=fashion"
"Giant","giant","1930s","vintage 1930s Giant clothing","https://www.ebay.com/sch/i.html?_nkw=vintage%201930s%20Giant%20clothing&_sacat=11450","https://www.amazon.com/s?k=vintage%201930s%20Giant%20clothing&i=fashion"
